Time,Bruce Wayne,Spider-Man,Transformers,Hello Kitty,Anpanman,Dragon Ball Z,One Piece,Pokemon,Demon Slayer: Kimetsu no Yaiba,Rilakkuma,Super Mario,Gundam,Yu-Gi-Oh!,Mickey Mouse,Winnie-the-Pooh,Star Wars,Disney Princess,Barbie,Marvel Comics,Call of Duty
1/1/2004,1,1,0,1,0,3,1,5,0,0,3,1,1,1,2,3,0,4,1,4
2/1/2004,1,1,0,1,0,3,1,5,0,0,3,0,1,1,2,2,0,4,1,3
3/1/2004,1,1,0,1,0,3,1,5,0,0,3,0,2,1,2,3,0,4,1,3
4/1/2004,1,1,0,1,0,3,1,5,0,0,3,0,2,1,1,3,0,4,1,3
5/1/2004,1,2,1,1,0,3,1,5,0,0,3,0,1,1,1,2,0,4,1,2
6/1/2004,1,3,0,1,0,2,1,5,0,0,3,0,1,1,1,2,0,4,1,2
7/1/2004,1,6,0,1,0,2,1,6,0,0,4,1,1,1,1,3,0,4,1,2
8/1/2004,1,3,0,1,0,2,1,6,0,0,3,0,1,1,1,3,0,4,1,2
9/1/2004,1,2,0,1,0,2,0,5,0,0,3,0,1,1,1,4,0,4,1,3
10/1/2004,1,2,0,1,0,3,1,5,0,0,4,0,1,1,1,3,0,5,1,3
11/1/2004,1,2,0,1,0,3,1,4,0,0,4,0,1,1,2,4,0,5,1,3
12/1/2004,1,2,0,1,0,3,0,4,0,0,4,1,1,1,2,3,0,6,1,4
1/1/2005,1,1,0,1,0,3,0,4,0,0,4,0,1,1,1,3,0,5,1,3
2/1/2005,1,1,0,1,0,2,1,4,0,0,4,0,1,1,2,3,0,5,1,2
3/1/2005,1,1,0,1,0,3,0,4,0,0,5,0,1,1,1,6,0,5,1,2
4/1/2005,1,1,0,1,0,3,1,4,0,0,4,0,1,1,1,8,0,5,1,2
5/1/2005,1,1,0,1,0,2,1,5,0,0,4,0,1,1,1,23,0,5,1,2
6/1/2005,3,1,0,1,0,2,1,5,0,0,4,0,1,0,1,12,0,5,1,2
7/1/2005,2,1,0,1,0,2,1,5,0,0,4,1,1,0,1,6,0,6,1,2
